"","postcode_clean","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","X","Y","fid","postcode","positional","country_co","nhs_region","nhs_ha_cod","admin_coun","admin_dist","admin_ward"
"11","DN1","Respondent 266","I give consent to take part in this study",39,"Male","Yes","DN1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","2","1. completely Agree","3","2","4",NA,"Every 6 months","Every 6 months","Once a year","Every 6 months","Every 6 months","Yes","Agree","Strongly agree","Partially agree","Agree","Agree","Nature watching,Photography,Rock pooling","Dangerous, deep, repurposed","Expansive, varied, lowland","Leeches, frogs, newts, caddisfly larvae","Kingfisher, heron and beavers","I already do","Limit water motor sports, restrictive fishing","2025-05-24 20:41:50 UTC","2025-05-24 20:51:28 UTC",457189,403291,413447,"DN1 1LB",10,"E92000001","E19000001","E18000003","","E08000017","E05010747"
"12","DN1","Respondent 276","I give consent to take part in this study",33,"Female","Yes","Dn1","Rural (i.e., mostly countryside with few houses or buildings)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Never","Once a year","Once a year","Never","Yes","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Humber esturay multidesignated site","Rspb blacktoft sands (still managed, nowhere actually wild round here)","Many birds","Badgers. Dragonflies. Insects. All of it","I already do","More native planting, less management","2025-05-26 19:43:06 UTC","2025-05-26 19:47:57 UTC",457189,403291,413447,"DN1 1LB",10,"E92000001","E19000001","E18000003","","E08000017","E05010747"
"13","DN1","Respondent 92","I give consent to take part in this study",33,"Female","Yes","DN1","Rural (i.e., mostly countryside with few houses or buildings)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","3",NA,"Weekly","Monthly","Every 6 months","Every 6 months","Once a year","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Rock pooling","Calming, enticing, fun","Stunning wildlife haven","Deer, adders, countless birds, badgers, otters","Hedgehogs","I already do","Better education from a young age to engage young people with nature instead of technology","2025-04-15 18:37:51 UTC","2025-04-15 18:41:49 UTC",457189,403291,413447,"DN1 1LB",10,"E92000001","E19000001","E18000003","","E08000017","E05010747"
"14","DN1","Respondent 264","I give consent to take part in this study",36,"Male","Yes","Dn1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Monthly","Monthly","Monthly","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Fishing,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Out doors","Calm and peaceful","Alot to much to mention","Wolfs","I would if I had the space","Stop cycling","2025-05-24 09:26:22 UTC","2025-05-24 09:30:49 UTC",457189,403291,413447,"DN1 1LB",10,"E92000001","E19000001","E18000003","","E08000017","E05010747"
"15","DN14","Respondent 298","I give consent to take part in this study",65,"Female","Yes","DN14","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","3",NA,"Weekly","Monthly","Monthly","Never","Once a year","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Canal, boats, quiet","Reservoir, open, birds","Birds, insects, fish, deer","Birds, small mammals","I already do","Free parking, accessible paths, litter bins, information boards, volunteer days - ranger talks, litter picking","2025-05-31 06:42:50 UTC","2025-05-31 07:03:06 UTC",464096,422275,416884,"DN14 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001706"
"16","DN15","Respondent 304","I give consent to take part in this study",36,"Female","Yes","DN15","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Monthly","Never","Weekly","Monthly","Monthly","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Exercise (e.g., walking, kayaking, swimming)","peaceful, oasis, calming","free, nurturing, balanced","birds, frogs/toads, deer","owls, bats","Maybe, I would consider providing a blue space with more information or assistance","public transport links, improve awareness, events, school/education trips, links with community/health groups","2025-06-04 12:30:07 UTC","2025-06-04 12:34:46 UTC",494923,414782,418562,"DN15 0AA",10,"E92000001","E19000001","E18000003","","E06000013","E05015085"
"17","DN3","Respondent 183","I give consent to take part in this study",59,"Male","Yes","Dn3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Monthly","Once a year","Monthly","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Dog walking,Exercise (e.g., walking, kayaking, swimming)","Canal,open space","Woodland, wild plants","Snakes, water voles, birds","Water creatures","I would if I had the space","Need more of them.","2025-05-19 15:44:58 UTC","2025-05-19 15:56:05 UTC",461826,409526,425723,"DN3 1AA",10,"E92000001","E19000001","E18000003","","E08000017","E05010744"
"18","EH1","Respondent 105","I give consent to take part in this study",34,"Female","Yes","Eh1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Weekly","Monthly","Once a year","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Green maintained pretty","Fascinating beauty interesting","Mainly bird species, squirrels, owls","Any","Maybe, I would consider providing a blue space with more information or assistance","Not sure","2025-04-16 06:53:12 UTC","2025-04-16 06:56:30 UTC",325597,673676,476060,"EH1 1YZ",10,"S92000003","","S08000024","","S12000036","S13002929"
"19","GL5","Respondent 151","I give consent to take part in this study",64,"Female","Yes","GL5","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Every 6 months","Never","Once a year","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Calm, happy, well","Teeming with wildlife","Heron, ducks, moorhen, kingfisher, Canada geese, otters, foxes, tadpole and frogs, dormouse","Bank and water voles, beavers","Maybe, I would consider providing a blue space with more information or assistance","Promotion of benefits to wildlife and people","2025-04-19 09:19:13 UTC","2025-04-19 14:05:53 UTC",385134,205147,567956,"GL5 1AA",10,"E92000001","E19000002","E18000010","E10000013","E07000082","E05010986"
"20","HG3","Respondent 46","I give consent to take part in this study",22,"Female","Yes","HG3","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","2","2","3","3","2","1. completely Agree",NA,"Weekly","Every 6 months","Once a year","Every 6 months","Once a year","Yes","Partially agree","Strongly agree","Agree","Partially agree","Agree","Dog walking,Exercise (e.g., walking, kayaking, swimming)","Otters quiet fishing","Otters quiet fishing","Otters, ducks, herons, newts","Beavers","I would if I had the space","Focus on rewilding the spaces we already have, remove plastic waste. Create viewing areas for people to enjoy the nature","2025-04-08 09:16:50 UTC","2025-04-08 09:21:06 UTC",436261,452109,626759,"HG3 1AA",10,"E92000001","E19000001","E18000003","","E06000065","E05014323"
"21","HG4","Respondent 300","I give consent to take part in this study",49,"Female","Yes","HG4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","2","2","2","2","3",NA,"Weekly","Every 6 months","Monthly","Every 6 months","Once a year","Yes","Partially agree","Strongly agree","Strongly agree","Partially agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Babbling calming wildlife","Thundering water green","Avi-fauna butterflies, insects, plantlife - ferns - algae","Everything native!","Maybe, I would consider providing a blue space with more information or assistance","Stop sewage discharges but also making sure people realise they can help with this. Stopping things flushing and respecting water use","2025-06-01 12:22:19 UTC","2025-06-01 12:26:40 UTC",431275,471396,629120,"HG4 1AA",10,"E92000001","E19000001","E18000003","","E06000065","E05014309"
"22","HG5","Respondent 119","I give consent to take part in this study",63,"Female","Yes","HG5","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","2","2","2","2","2","3",NA,"Monthly","Every 6 months","Once a year","Every 6 months","Every 6 months","Yes","Partially agree","Partially agree","Partially agree","Partially agree","Partially agree","Dog walking,Feeding wildlife (e.g., ducks, fish)","We have a River near by River Nidd and a pond at our park","A pond that’s over grown and just left for years before being cleared","Dogs rats mice birds","Ducks","No","When housing estate are awarded they would have to provide green and blue spaces","2025-04-16 12:33:37 UTC","2025-04-16 12:41:01 UTC",435233,456900,630676,"HG5 0AA",10,"E92000001","E19000001","E18000003","","E06000065","E05014289"
"23","HU1","Respondent 235","I give consent to take part in this study",65,"Male","Yes","Hu1","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Weekly","Weekly","Weekly","Weekly","Yes","Agree","Agree","Agree","Agree","Agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","A relaxing getaway","Sit look listen","Birds rodents insects","Creepy crawlies","I would if I had the space","More guided walks at different times of the year ( l wouldlike to learn more about foraging mushrooms)","2025-05-22 18:04:33 UTC","2025-05-22 18:23:08 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"24","HU1","Respondent 99","I give consent to take part in this study",69,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Every 6 months","Monthly","Weekly","Monthly","No","Agree","Agree","Agree","Agree","Agree","Nature watching,Dog walking,Fishing,Photography","River Humber","Welton Waters","Geese, ducks, water voles, birds, heron, seagulls, widgeon","All wildlife","I would if I had the space","Maintain what we have","2025-04-15 21:16:59 UTC","2025-04-15 21:27:20 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"25","HU1","Respondent 234","I give consent to take part in this study",52,"Male","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Weekly","Weekly","Monthly","Monthly","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Peaceful claiming fun","Neglected abandoned abused","Not much I haven't seen","King Fishers water voles","I already do","Teaching more in schools","2025-05-22 17:17:01 UTC","2025-05-22 17:29:58 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"26","HU1","Respondent 214","I give consent to take part in this study",42,"Male","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Weekly","Weekly","Weekly","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","Holderness coast","Humber estuary","Fish,Whales,Dolphins,Birds,Reptiles","TUNA","I would if I had the space","Clean up plastic rubbish","2025-05-22 12:29:05 UTC","2025-05-22 12:36:36 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"27","HU1","Respondent 172","I give consent to take part in this study",20,"Female","Yes","Hu1","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","3","2","5",NA,"Monthly","Every 6 months","Weekly","Every 6 months","Every 6 months","Yes","Agree","Strongly agree","Strongly agree","Neutral","Neutral","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","polluted","weeds, algae, insects","insects and birds","ducks, birds and fish","I already do","more plant diversity, keep the area cleaner, remove algae build up","2025-05-11 08:59:58 UTC","2025-05-11 09:03:31 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"28","HU1","Respondent 202","I give consent to take part in this study",60,"Female","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Weekly","Every 6 months","Monthly","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Pond dipping,Rock pooling","A hidden gem","Crazy, affectionate,  loving","Dolphins, porpoises,  jelly fish,  birds, swans, fish","Foxes","I already do","More bins","2025-05-21 13:21:05 UTC","2025-05-21 13:28:00 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"29","HU1","Respondent 54","I give consent to take part in this study",67,"Female","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","2","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Monthly","Once a year","Every 6 months","Monthly","Once a year","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Birds peace space","Cress fish voles","Avocets north cave Kingfisher Skerne","More variety at coast, rivers lakes crested newts toads birds","Maybe, I would consider providing a blue space with more information or assistance","Forming partnerships using policies LNRS doing events to get people out train on iNats","2025-04-11 19:22:50 UTC","2025-04-11 19:31:33 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"30","HU1","Respondent 73","I give consent to take part in this study",46,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1. completely Agree","2","1. completely Agree","1. completely Agree","2","2",NA,"Every 6 months","Monthly","Every 6 months","Every 6 months","Every 6 months","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Exercise (e.g., walking, kayaking, swimming)","Brown, muddy, littered","Brown, muddy, littered","Insects","Garden birds, fish, hedgehogs","Maybe, I would consider providing a blue space with more information or assistance","Regular litter pickers","2025-04-14 18:15:50 UTC","2025-04-14 18:24:42 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"31","HU1","Respondent 182","I give consent to take part in this study",42,"Female","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","3",NA,"Weekly","Monthly","Monthly","Weekly","Monthly","Yes","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Beautiful calm respected","Disrespected uncared for","Birds and deer","Fish","I would if I had the space","More accessible","2025-05-19 13:26:25 UTC","2025-05-19 13:29:16 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"32","HU1","Respondent 85","I give consent to take part in this study",40,"Male","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Every 6 months","Monthly","Every 6 months","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Exercise (e.g., walking, kayaking, swimming) ,Fishing","Peaceful, clean, enjoyable","Natural, beautiful peaceful","Water voles, fish, birds, insects, reptiles, fox, deer, rabbits,","Newts","Maybe, I would consider providing a blue space with more information or assistance","Signage to remind people to respect the space and not pollute it with litter etc","2025-04-15 12:05:12 UTC","2025-04-15 12:12:08 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
"33","HU1","Respondent 194","I give consent to take part in this study",51,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Every 6 months","Weekly","Weekly","Once a year","Every 6 months","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Partially agree","Exercise (e.g., walking, kayaking, swimming)","Beautiful north sea","Wild north sea","Puffins gulls dolphins","Dolphins","I would if I had the space","Reduce the sewage discharges into the sea","2025-05-21 11:48:42 UTC","2025-05-21 11:54:47 UTC",510050,428808,668037,"HU1 1AA",10,"E92000001","E19000001","E18000003","","E06000010","E05011541"
